{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Spreenende,de:02000:91011::910037,"114,214,M23,N605,X35",5,"Expressbus, Metrobus, Nachtbus, Stadtbus",426,POINT (9.973506 53.612715),EPSG:4326
An der Bergkoppel,de:02000:22038::220106,"332,534,M29,X32,X80",5,"Expressbus, Metrobus, Stadtbus",291,POINT (10.198780 53.500660),EPSG:4326
Marschkamper Deich,de:02000:51954::51954301,"257,2707,2711,2718,350,4750",6,Stadtbus,85,POINT (9.794515 53.515015),EPSG:4326
Seehafenbrücke (Amtsgericht),de:02000:40006::400023,"141,154,157,241,N641",5,"Nachtbus, Stadtbus",241,POINT (9.980556 53.464091),EPSG:4326
Rudolf-Kinau-Allee,de:02000:51009::510010,"146,150,251,350,4714,N611,X40",7,"Expressbus, Nachtbus, Stadtbus",302,POINT (9.853170 53.535690),EPSG:4326
Püttenhorst (Süd),de:02000:23021::230185,"235,329,N629",3,"Nachtbus, Stadtbus",62,POINT (10.186150 53.477660),EPSG:4326
Seehofring,de:02000:51996::51973701,"2045,257,2719,350,550",5,Stadtbus,89,POINT (9.779714 53.521148),EPSG:4326
Flachsland,de:02000:70043::700031,"213,M18,N600,N607",4,"Metrobus, Nachtbus, Stadtbus",206,POINT (10.047293 53.584174),EPSG:4326
Sieker Landstraße,de:02000:64017::640046,"264,362,364,462,M26,M29,N608",7,"Metrobus, Nachtbus, Stadtbus",292,POINT (10.167140 53.605900),EPSG:4326
Ellernreihe (Mitte),de:02000:63013:1:630132,"118,M18,M26,M8",4,"Metrobus, Stadtbus",430,POINT (10.080187 53.608345),EPSG:4326
"Rübke, Nincoper Deich (Kehre)",de:02000:47607::4760701,"2707,4682,4750,550",4,Stadtbus,24,POINT (9.782910 53.500420),EPSG:4326
Neuland,de:02000:49952::499564,"149,152,349,N641,X30",5,"Expressbus, Nachtbus, Stadtbus",76,POINT (10.003904 53.462935),EPSG:4326
Veddeler Marktplatz,de:02000:54021::540062,"154,155,N640,N641",4,"Nachtbus, Stadtbus",130,POINT (10.023693 53.529351),EPSG:4326
Neuländer Weg,de:02000:49903::499513,"149,152,349,N641,X30",5,"Expressbus, Nachtbus, Stadtbus",76,POINT (10.007410 53.462880),EPSG:4326
Denksteinweg,de:02000:62008::620017,"263,M10,M27,N618,X22,X35",6,"Expressbus, Metrobus, Nachtbus, Stadtbus",585,POINT (10.130100 53.571090),EPSG:4326
Opferberg,de:02000:41035::410093,"141,250,340,N641,X40",5,"Expressbus, Nachtbus, Stadtbus",220,POINT (9.876569 53.471953),EPSG:4326
Grandkoppel (West),de:02000:22033::220093,"134,534,M29,N610,X32,X80",6,"Expressbus, Metrobus, Nachtbus, Stadtbus",173,POINT (10.184028 53.506180),EPSG:4326
HBF/Steintorwall,de:0:0::0,"112,M16,M17,M2,M3,M6,N640,N641,X35,X80",10,"Expressbus, Metrobus, Nachtbus, Stadtbus",762,POINT (10.005985 53.551381),EPSG:4326
U Wandsbek Markt (Schloßstraße),de:0:0::0,"116,213,261,8700,N608,X22,X32",7,"Expressbus, Nachtbus, Stadtbus",686,POINT (10.067883 53.571525),EPSG:4326
Seehof,de:02000:13030::51953701,"257,2711,2718,350,550",5,Stadtbus,109,POINT (9.781880 53.518190),EPSG:4326
U Ritterstraße,de:02000:60012::600064,"261,N608,X22",3,"Expressbus, Nachtbus, Stadtbus",15,POINT (10.044880 53.567310),EPSG:4326
Emilie-Günther-Weg,de:02000:22037::220105,"534,M29,X32,X80",4,"Expressbus, Metrobus, Stadtbus",220,POINT (10.194763 53.502469),EPSG:4326
Speersort,de:02000:11099::110991,"M16,M17,M4,M6,N602,X3,X35,X80",8,"Expressbus, Metrobus, Nachtbus",1193,POINT (9.996461 53.549413),EPSG:4326
Odemanns Heck,de:02000:24012::240023,"127,227,323,328,427",5,Stadtbus,47,POINT (10.220636 53.446546),EPSG:4326
Am Schleusengraben,de:02000:23092::230287,"122,124,127,221,223,224,321,4400,8800,X80,X82",11,"Expressbus, Stadtbus",180,POINT (10.206230 53.477170),EPSG:4326
Stübenplatz,de:02000:50010::500034,"156,M13,N640",3,"Metrobus, Nachtbus, Stadtbus",224,POINT (9.987550 53.517380),EPSG:4326
Hübbesweg,de:02000:10010::100018,"116,N610,X80",3,"Expressbus, Nachtbus, Stadtbus",173,POINT (10.061360 53.554550),EPSG:4326
Zweibrückenstraße,de:02000:54022::540063,"154,N640,N641",3,"Nachtbus, Stadtbus",130,POINT (10.027632 53.533574),EPSG:4326
Rhiemsweg,de:02000:61019::610167,"160,261,N609,X32",4,"Expressbus, Nachtbus, Stadtbus",210,POINT (10.074995 53.557898),EPSG:4326
Jeverländer Weg,de:02000:81472::814721,"146,150,251,N611,X40",5,"Expressbus, Nachtbus, Stadtbus",309,POINT (9.880650 53.527920),EPSG:4326
Liegnitzer Straße,de:02000:62004::620033,"567,M27,N618,X35",4,"Expressbus, Metrobus, Nachtbus, Stadtbus",227,POINT (10.137800 53.580430),EPSG:4326
BAB-Auffahrt Waltershof,de:02000:52002::520027,"150,151,250,451,4714,N611",6,"Nachtbus, Stadtbus",347,POINT (9.911892 53.514182),EPSG:4326
Werfelring,de:02000:71116::710250,"171,M27",2,"Metrobus, Stadtbus",67,POINT (10.116150 53.627840),EPSG:4326
AIRBUS,de:02000:51008::510009,"146,150,350,4714,N611,X40",6,"Expressbus, Nachtbus, Stadtbus",233,POINT (9.848103 53.536588),EPSG:4326
Washingtonallee,de:02000:61029::610100,"116,161,213,N610,X80",5,"Expressbus, Nachtbus, Stadtbus",447,POINT (10.095975 53.542412),EPSG:4326
Süderquerweg 399,de:02000:23089::230279,"124,224,322,323",4,Stadtbus,89,POINT (10.143840 53.421832),EPSG:4326
Steendiek,de:02000:51013::510027,"146,150,251,N611,X40",5,"Expressbus, Nachtbus, Stadtbus",309,POINT (9.878776 53.532807),EPSG:4326
Culinstraße,de:02000:61025::610094,"116,N610,X80",3,"Expressbus, Nachtbus, Stadtbus",173,POINT (10.073680 53.551830),EPSG:4326
Spaldingstraße,de:02000:10023::100034,"M3,N640,N641",3,"Metrobus, Nachtbus",119,POINT (10.012822 53.547786),EPSG:4326
Rote Brücke,de:02000:21004::210005,"330,430,432",3,Stadtbus,109,POINT (10.108813 53.530337),EPSG:4326
Spitzbergenweg,de:02000:65016:1:650060,"275,M24,N617",3,"Metrobus, Nachtbus, Stadtbus",194,POINT (10.166040 53.629280),EPSG:4326
