{https://registry.gdi-de.org/id/de.hh.up}name,{https://registry.gdi-de.org/id/de.hh.up}dhid,{https://registry.gdi-de.org/id/de.hh.up}linien,{https://registry.gdi-de.org/id/de.hh.up}linienzahl,{https://registry.gdi-de.org/id/de.hh.up}art,{https://registry.gdi-de.org/id/de.hh.up}abfahrten,{https://registry.gdi-de.org/id/de.hh.up}geom,CRS
Wandsbeker Chaussee S,de:02000:60951:1:609102,"S1,S11",2,S-Bahn,298,POINT (570196.268586 5936176.159402),EPSG:25832
Wandsbek-Gartenstadt U Nord,de:02000:63902:2:639004,"U1,U3",2,U-Bahn,424,POINT (571109.961476 5938704.894551),EPSG:25832
Landungsbrücken U,de:02000:80950:1:809002,U3,1,U-Bahn,481,POINT (564387.248370 5933423.464330),EPSG:25832
"Hamburg-Altona S Gl. 3,4",de:02000:80953:2:809106,"S1,S11,S2,S3,S31",5,S-Bahn,259,POINT (561929.485056 5934085.545857),EPSG:25832
Burgwedel,de:02000:86960,A1,1,Regionalverkehr,140,POINT (560053.909201 5944705.218708),EPSG:25832
Barmbek U (Süd),de:02000:70950:2:709022,U3,1,U-Bahn,235,POINT (569120.741857 5938097.610753),EPSG:25832
Barmbek U (Nord),de:02000:70950:1:709025,U3,1,U-Bahn,445,POINT (569126.542475 5938115.657119),EPSG:25832
Ottensen S,de:0:0::0,"S1,S11",2,S-Bahn,204,POINT (561413.461938 5934919.816817),EPSG:25832
"Hamburg-Harburg Gl. 5,6",de:02000:8000147,RE5,1,"Fernverkehr, Regionalverkehr",37,POINT (565810.634839 5923430.431552),EPSG:25832
Hamburg-Bergedorf,de:02000:25950,"L11,L15,L18,L26,L27,L28,L29,L30,L91,RE1",10,"Fernverkehr, Regionalverkehr",54,POINT (580035.258618 5927427.545320),EPSG:25832
Hamburg-Rahlstedt,de:02000:8002558,"L25,L39,RB81,RE8,RE80,RE83",6,"Fernverkehr, Regionalverkehr",106,POINT (576387.670952 5940178.051366),EPSG:25832
Hamburg-Wandsbek,de:02000:8002560,"L25,L39,RB81,RE8,RE80,RE83",6,"Fernverkehr, Regionalverkehr",106,POINT (571340.776139 5936206.946236),EPSG:25832
Hamburg-Tonndorf,de:02000:8006197,"L25,L39,RB81,RE8,RE80,RE83",6,"Fernverkehr, Regionalverkehr",106,POINT (574345.616134 5938093.831998),EPSG:25832
Hamburg Hasselbrook,de:02000:60950,"L25,L39,RB81,RE8,RE80,RE83",6,"Fernverkehr, Regionalverkehr",108,POINT (569944.036717 5935596.945773),EPSG:25832
"Hamburg-Harburg Gl. 3,4",de:02000:8000147,"L1,L11,L20,L22,L24,L25,L26,L30,L31,L39,L4,L42,L91,NJ,RB31,RB41,RE3,RE4",18,"Fernverkehr, Regionalverkehr",143,POINT (565837.499355 5923474.283182),EPSG:25832
Hamburg Dammtor,de:02000:8002548,"L1,L11,L15,L18,L20,L22,L24,L25,L26,L27,L28,L29,L30,L31,L39,L4,L42,L75,L76,L91,NJ,RB61,RE7,RE70",24,"Fernverkehr, Regionalverkehr",220,POINT (565513.112522 5935149.387941),EPSG:25832
"Hamburg-Harburg Gl. 1,2",de:02000:8000147,"L1,L20,L22,L24,L25,L26,L30,L31,L39,L4,L42,L91,NJ,RB31,RB41,RE3,RE4",17,"Fernverkehr, Regionalverkehr",137,POINT (565865.378677 5923480.632354),EPSG:25832
Fischbek S,de:02000:8002556:2:8004248,"RE5,S3",2,"Regionalverkehr, S-Bahn",171,POINT (554374.257580 5925398.221821),EPSG:25832
Hamburg-Altona,de:02000:8002553,"L1,L11,L15,L18,L20,L22,L24,L25,L26,L27,L28,L29,L30,L31,L39,L4,L42,L91,NJ,RB71,RE6",21,"Fernverkehr, Regionalverkehr",136,POINT (561948.206722 5934124.682739),EPSG:25832
Hamburg Hbf Gl. 11-14,de:02000:10950,"L1,L11,L15,L18,L20,L22,L24,L25,L26,L27,L28,L29,L30,L31,L39,L4,L42,L75,L76,L91,NJ,RB31,RB41,RE3,RE4,RE5",26,"Fernverkehr, Regionalverkehr",308,POINT (566669.308740 5934230.699519),EPSG:25832
